case_key,year,unit_name,job_number,title,award_date,vendor_name,vendor_id,case_award_amount,winner_count,amount_warning
3.76.55.55|1110706F|20220830|aaa-70078531,2022,花蓮縣吉安鄉公所,1110706F,111年度環保志工工作服採購案,,順展商行,85206340,,1,
3.76.55.55|1110706F|20220830|aaa-70078643,2022,花蓮縣吉安鄉公所,1110706F,111年度環保志工工作服採購案,,順展商行,85206340,,1,
3.76.55|EA109000054|20220627|BDM-1-70019344,2022,花蓮縣政府,EA109000054,花蓮縣立體育場太昌游泳池整建工程,2020-10-27,奧林匹克營造有限公司,,3454207,1,
3.76.55|TM1100419|20220706|BDM-1-70027390,2022,花蓮縣政府,TM1100419,花蓮縣公共設施管線第七期計畫委託建置工作,2021-06-08,九福科技顧問股份有限公司,,2307587,1,
3.76.55|TM1100427|20220705|aaa-70027414,2022,花蓮縣政府,TM1100427,花蓮縣公共設施管線第七期計畫委託監審工作,2021-06-08,國立宜蘭大學,,280500,1,
3.76.55.97.91|zmps110002|20220427|aaa-53710660,2022,花蓮縣秀林鄉景美國民小學,zmps110002,110年景美國小電腦教室設施改善暨筆電等設備工程,2021-07-19,昇宏資訊有限公司,,798263,1,
3.76.55|TM1081111A-1|20221003|BDM-1-70103856,2022,花蓮縣政府,TM1081111A-1,縣193線19K+840~22K+500(南海四街至花蓮大橋段)路段拓寬工程(第一次變更設計),2021-08-31,員達營造有限公司,,26068846,1,
3.76.55.96.24|SC109121401-1|20220520|aaa-53731361,2022,花蓮縣立化仁國民中學,SC109121401-1,109年化仁國中修整建棒球運動場地工程,2021-09-16,謙杰土木包工業,,84088,1,
3.76.55|SC1100004841-1|20221221|BDM-1-70181543,2022,花蓮縣政府,SC1100004841-1,光復親子館-花蓮縣光復鄉托育資源中心（後續擴充）,2021-10-15,慈濟學校財團法人慈濟大學,,6798400,1,
3.76.55|SK1100000358|20220509|BDM-1-53718289,2022,花蓮縣政府,SK1100000358,110年洄瀾施政成果影片服務案,2021-11-05,時報資訊股份有限公司,,980000,1,
3.76.55.54|rk110140-1|20220107|BDM-1-53618337,2022,花蓮縣新城鄉公所,rk110140-1,110年度新城鄉體健設施改善工程開口契約,2021-11-09,棋勝土木包工業,,1730858,1,
3.76.55|FI110102501|20220113|BDM-1-53624891,2022,花蓮縣政府,FI110102501,花蓮縣消防局骨內輸液組開口契約、呼吸道處置組開口契約、救護耗材開口契約採購案(分項決標),2021-11-23,裕利股份有限公司,,791500,2,多家得標時不可按廠商列直接加總案件金額
3.76.55|FI110102501|20220113|BDM-1-53624891,2022,花蓮縣政府,FI110102501,花蓮縣消防局骨內輸液組開口契約、呼吸道處置組開口契約、救護耗材開口契約採購案(分項決標),2021-11-23,雄泰國際有限公司,,791500,2,多家得標時不可按廠商列直接加總案件金額
3.76.55|SC0245-1|20220111|BDM-1-53621054,2022,花蓮縣政府,SC0245-1,111年度花蓮縣成年人監護(輔助)權歸屬訪視調查及執行個案管理服務,2021-12-02,維安社會工作師事務所,,995000,1,
3.76.55|TE1100005296|20220920|aaa-70094795,2022,花蓮縣政府,TE1100005296,「花蓮新創基地共創空間、會議室及用餐區空間規劃」財務採購案,2021-12-03,霍士曼有限公司,,370000,1,
3.76.55.51|1100022676-1|20220105|BDM-1-53615238,2022,花蓮縣花蓮市公所,1100022676-1,110年度花蓮市白燈塔及中韓公園基礎設施改善工程,2021-12-07,竣程營造事業有限公司,,574360,1,
3.76.55.55|1101116F|20220103|aaa-53612158,2022,花蓮縣吉安鄉公所,1101116F,111年度吉安鄉公所暨所屬單位保全防護採購案,2021-12-09,中興保全科技股份有限公司,,960000,1,
3.76.55|SK1100002184|20220105|BDM-1-53613907,2022,花蓮縣政府,SK1100002184,花蓮縣政府111年度辦公廳舍及環境清潔維護工作,2021-12-13,羽亭工程行(獨資),,1650000,1,
3.76.55|sk1100002490|20220120|aaa-53632924,2022,花蓮縣政府,sk1100002490,花蓮縣政府台北聯絡處111年度辦公廳舍租賃案,2021-12-13,曹盛興,,,1,
3.76.55|1100239607|20220106|BDM-1-53617428,2022,花蓮縣政府,1100239607,花蓮好Q2.0規劃執行案,2021-12-14,雷門數據服務股份有限公司,,1268000,1,
3.76.55|EC110112901|20220107|BDM-1-53618920,2022,花蓮縣政府,EC110112901,110年南區等6件排水溝及擋土牆改善工程(瑞穗鄉、玉里鎮、富里鄉),2021-12-14,秉昌營造有限公司,,5686000,1,
3.76.55|EP110111701|20220103|BDM-1-53610718,2022,花蓮縣政府,EP110111701,111年度「花蓮縣焚化再生粒料作為水泥生料使用計畫」勞務採購案,2021-12-15,亞洲水泥股份有限公司花蓮製造廠,,4788750,1,
3.76.55|TP110111701|20220107|BDM-1-53618027,2022,花蓮縣政府,TP110111701,111年度「七星潭風景區、自行車道等區域」災害搶險搶修開口契約,2021-12-15,古森企業有限公司,,4550000,1,
3.76.55.96.19|YL1101128|20220113|BDM-1-53623716,2022,花蓮縣立玉里國民中學,YL1101128,玉里國中111年影印機財物租賃採購,2021-12-17,奇群企業有限公司,,144000,1,
3.76.55.2|HCPB-11102|20220104|BDM-1-53612290,2022,花蓮縣警察局,HCPB-11102,花蓮縣警察局111年度e化勤務指管系統維護採購案,2021-12-20,中華電信股份有限公司臺灣北區電信分公司,,1140000,1,
3.76.55.58|1100014648|20220112|BDM-1-53622990,2022,花蓮縣豐濱鄉公所,1100014648,豐濱鄉111年度公共工程委託設計及監造技術服務開口契約,2021-12-20,立揚工程顧問有限公司,,6563550,1,
3.76.55.58|1100015274|20220112|BDM-1-53623194,2022,花蓮縣豐濱鄉公所,1100015274,「111年度花蓮縣豐濱鄉建築、裝修工程」委託設計監造及其他專業技術服務(開口契約),2021-12-20,新成建築師事務所,,5700000,1,
3.76.55.58|110001213|20220104|BDM-1-53613220,2022,花蓮縣豐濱鄉公所,110001213,港口聚會所周邊設施改善工程,2021-12-21,興日鴻土木包工業(獨資),,146000,1,
