case_key,year,unit_name,job_number,title,award_date,vendor_name,vendor_id,case_award_amount,winner_count,amount_warning
3.76.55|FI105062401|20160802|BDM-1-51907455,2016,花蓮縣政府,FI105062401,改善119派遣系統各項軟硬體設備與電腦設備及防毒軟體採購案,,中華電信股份有限公司臺灣北區電信分公司,96979949,,1,
3.76.55|FI105062401|20160802|BDM-1-51907463,2016,花蓮縣政府,FI105062401,改善119派遣系統各項軟硬體設備與電腦設備及防毒軟體採購案,,中華電信股份有限公司臺灣北區電信分公司,96979949,,1,
3.76.55|20091103|20160902|BDM-1-51931596,2016,花蓮縣政府,20091103,花蓮縣政府旅遊服務中心委託管理案,2009-12-22,臺灣觀光學院,,6786000,1,
3.76.55|BE99060302|20161212|BDM-1-52010144,2016,花蓮縣政府,BE99060302,富里國小西邊教室耐震補強工程,2010-06-23,信福土木包工業,,2800000,1,
3.76.55|TM100081001|20160324|BDM-1-51806347,2016,花蓮縣政府,TM100081001,100年度花蓮縣北區道路設施(排水溝、擋土牆等)改善工程第二期(開口契約),2011-08-23,易典營造有限公司,,6670000,1,
3.76.55.55|1031203|20160913|BDM-1-51939322,2016,花蓮縣吉安鄉公所,1031203,太昌村社區活動中心、仁和舊社區活動中心、太昌原住民多功能活動中心多功能LED顯示屏採購案,2014-12-18,普傑特科技有限公司,,955500,1,
3.76.55|TE1040001747|20160603|aaa-51861808,2016,花蓮縣政府,TE1040001747,花蓮縣104年度校園無障礙網站系統延續維護案,2015-05-18,網韻資訊股份有限公司,,190000,1,
3.76.55|TM1040616A|20160316|BDM-1-51799971,2016,花蓮縣政府,TM1040616A,花蓮縣環島自行車道路網斷點串連與優質化規劃設計及工程委託設計技術服務工作,2015-09-14,隆成工程顧問有限公司,,1292600,1,
3.76.55.63|1040916-A01|20160108|BDM-1-51752569,2016,花蓮縣萬榮鄉公所,1040916-A01,紅葉村馬麗雲產業道路改善工程,2015-09-30,馬遠土木包工業,,415000,1,
3.76.55|AGRLR10403|20160810|BDM-1-51913901,2016,花蓮縣政府,AGRLR10403,104年度花蓮農村再生區域特色料理開發專業服務委託案,2015-09-30,臺灣觀光管理學院,,800000,1,
3.76.55.63|1040925-A02|20160308|BDM-1-51792996,2016,花蓮縣萬榮鄉公所,1040925-A02,西林村排水暨護欄改善工程,2015-10-02,三碩土木包工業,,750000,1,
3.76.55|SC104101502|20160114|BDM-1-51757693,2016,花蓮縣政府,SC104101502,104年度美崙國中網球場照明設備新建工程,2015-10-27,和泰水電工程行,,920000,1,
3.76.55.6|1041000|20160107|BDM-1-51752011,2016,花蓮縣玉里地政事務所,1041000,花蓮縣玉里地政事務所委託辦理富里鄉地籍圖重測加密控制測量案,2015-11-13,中興測量有限公司,,1500000,1,
3.76.55|SC10410|20160112|BDM-1-51755174,2016,花蓮縣政府,SC10410,身心障礙者暨長照復康巴士服務,2015-11-26,財團法人門諾社會福利慈善事業基金會,,45800000,1,
3.76.55|SC6162|20160112|BDM-1-51755723,2016,花蓮縣政府,SC6162,花蓮縣老人及身心障礙者緊急救援連線服務,2015-12-03,財團法人門諾社會福利慈善事業基金會,,2300000,1,
3.76.55.98.20|CY1041124|20160111|BDM-1-51754145,2016,花蓮縣花蓮市中原國民小學,CY1041124,花蓮縣中原國小104年教學大樓地磚拆除重建工程,2015-12-08,金源土木包工業,,501500,1,
3.76.55.98.20|CY1041202|20160111|BDM-1-51754039,2016,花蓮縣花蓮市中原國民小學,CY1041202,花蓮縣中原國小無障礙坡道工程,2015-12-08,傑富土木包工業,,265000,1,
3.76.55|SC6168|20160108|BDM-1-51753187,2016,花蓮縣政府,SC6168,105年度失能老人及身心障礙者居家服務暨中低收入老人特別照顧訪視督導服務,2015-12-10,財團法人一粒麥子社會福利慈善事業基金會,,62442662,2,多家得標時不可按廠商列直接加總案件金額
3.76.55|SC6168|20160108|BDM-1-51753187,2016,花蓮縣政府,SC6168,105年度失能老人及身心障礙者居家服務暨中低收入老人特別照顧訪視督導服務,2015-12-10,財團法人門諾社會福利慈善事業基金會,,62442662,2,多家得標時不可按廠商列直接加總案件金額
3.76.55|SC6300|20160105|BDM-1-51748080,2016,花蓮縣政府,SC6300,花蓮縣政府105年度委託辦理行動式老人文康休閒巡迴服務案實施計畫,2015-12-11,社團法人花蓮縣老人暨家庭關懷協會,,1300000,1,
3.76.55.63|104112-A01|20160104|BDM-1-51745727,2016,花蓮縣萬榮鄉公所,104112-A01,明利村馬太鞍產業道路過水路面改善工程,2015-12-16,馬遠土木包工業,,435000,1,
3.76.55|SC6171|20160113|BDM-1-51756173,2016,花蓮縣政府,SC6171,花蓮縣老人及身心障礙者營養餐食服務,2015-12-16,財團法人一粒麥子社會福利慈善事業基金會,,10000000,2,多家得標時不可按廠商列直接加總案件金額
3.76.55|SC6171|20160113|BDM-1-51756173,2016,花蓮縣政府,SC6171,花蓮縣老人及身心障礙者營養餐食服務,2015-12-16,財團法人門諾社會福利慈善事業基金會,,10000000,2,多家得標時不可按廠商列直接加總案件金額
3.76.55.97.80|10401|20160113|aaa-51757844,2016,花蓮縣富里鄉明里國民小學,10401,104年度紅土跑道鋪設工程,2015-12-18,華海土木包工業,,235000,1,
