case_key,year,unit_name,job_number,title,award_date,vendor_name,vendor_id,case_award_amount,winner_count,amount_warning
3.76.55|EC1060223-1|20200827|BDM-1-53176965,2020,花蓮縣政府,EC1060223-1,北昌、太昌村、國興里分支管網及用戶接管工程(第一標),2017-04-17,全方位管道工程有限公司,,170160118,1,
3.76.55.2|PO105122101-1|20200518|BDM-1-53090597,2020,花蓮縣警察局,PO105122101-1,花蓮縣警察局106年數位錄影監視系統開口合約採購後續擴充案,2017-10-03,中華電信股份有限公司臺灣北區電信分公司,,10000000,1,
3.76.55|EC107050901|20200605|BDM-1-53107955,2020,花蓮縣政府,EC107050901,花蓮市無名橋-9橋梁改建工程,2018-05-29,順鴻土木包工業(獨資),,3670000,1,
3.76.55.2|PO10612042-1|20200515|BDM-1-53089916,2020,花蓮縣警察局,PO10612042-1,花蓮縣警察局107年數位錄影監視系統開口合約採購後續擴充案,2018-07-23,中華電信股份有限公司臺灣北區電信分公司,,15000000,1,
3.76.55|TR1070000998a|20200318|BDM-1-53042075,2020,花蓮縣政府,TR1070000998a,「107年度樂活花蓮智慧城鄉播種計畫」公務雲建置案第一次契約變更,2018-11-09,德瑞數位科技股份有限公司,,4500000,1,
3.76.55|EA1080000004|20200623|BDM-1-53122790,2020,花蓮縣政府,EA1080000004,太平洋左岸宜居城市-美崙綠網營造計畫委託設計監造技術服務,2019-03-11,台典工程顧問股份有限公司,,17401530,1,
3.76.55|swc20180515|20200610|BDM-1-53110603,2020,花蓮縣政府,swc20180515,108年度花蓮縣政府山坡地非農業使用水土保持計畫委託施工檢查勞務採購,2019-06-26,社團法人永續發展工程學會,,989280,1,
3.76.55|VIALA1080515|20200109|BDM-1-52989065,2020,花蓮縣政府,VIALA1080515,108年度花蓮縣「社區農村再生專業管理及輔導培根團隊」委託專業服務案,2019-07-01,綠奇規劃設計股份有限公司,,3332600,1,
3.76.55|TR10808142|20200401|BDM-1-53053415,2020,花蓮縣政府,TR10808142,「108年度樂活花蓮智慧城鄉播種計畫」便民服務無線網路建置案,2019-09-10,大同股份有限公司花蓮分公司,,12540000,1,
3.76.55.52|1080812|20200212|BDM-1-53013940,2020,花蓮縣鳳林鎮公所,1080812,花蓮縣中區區域性垃圾衛生掩埋場場區機具設備採購,2019-09-12,有曜興業有限公司,,17480000,1,
3.76.55|AG108050611|20200107|BDM-1-52986120,2020,花蓮縣政府,AG108050611,美崙山公園廣場及步道等設施整修工程(第一次變更設計),2019-09-27,鈺德營造有限公司,,55000,1,
